,Item #,Part #,List Price,Frame Rating,Amp Rating,Breaking Capacity,Performance %,Trip Unit,240V kAIC,480V kAIC,Labor Units
ACB,29270771UL,UAH-16E3-16V M1D1D1HX AO1U0A1B UL,"$35,759.10 ",1600,1600,X,0,AO1,100,100,2
,29270700UL,UAH-20E3-20V M1D1D1HX AO1U0A1B UL,"$42,922.35 ",2000,2000,X,0,AO1,100,100,2
,29270770UL,UAH-25E3-25V M1D1D1HX AO1U0A1B UL,"$54,010.15 ",2500,2500,X,0,AO1,100,100,2
,29270699UL,UAH-32E3-30V M1D1D1HX AO1U0A1B UL,"$66,926.87 ",3200,3000,X,0,AO1,100,100,3
,29270750UL,UAH-32E3-32V M1D1D1HX AO1U0A1B UL,"$66,926.87 ",3200,3200,X,0,AO1,100,100,3
,29280269UL,UAH-40G3-40V M1D1D1HX AO1UOA1B UL,"$108,115.56 ",4000,4000,X,0,AO1,100,100,4
UTS150,02070033UL,UTS150N FTU 40A 3P LO UL,"$1,762.26 ",150,40A,N,80,FTU,65,35,1
,02070034UL,UTS150N FTU 50A 3P LO UL,"$1,762.26 ",150,50A,N,80,FTU,65,35,1
,02070035UL,UTS150N FTU 60A 3P LO UL,"$1,762.26 ",150,60A,N,80,FTU,65,35,1
,02070036UL,UTS150N FTU 70A 3P LO UL,"$1,762.26 ",150,70A,N,80,FTU,65,35,1
,02070037UL,UTS150N FTU 80A 3P LO UL,"$1,762.26 ",150,80A,N,80,FTU,65,35,1
,02070038UL,UTS150N FTU 90A 3P LO UL,"$1,762.26 ",150,90A,N,80,FTU,65,35,1
,02070039UL,UTS150N FTU 100A 3P LO UL,"$1,762.26 ",150,100A,N,80,FTU,65,35,1
,02070040UL,UTS150N FTU 125A 3P LO UL,"$1,762.26 ",150,125A,N,80,FTU,65,35,1
,02070041UL,UTS150N FTU 150A 3P LO UL,"$1,762.26 ",150,150A,N,80,FTU,65,35,1
,02070097UL,UTS150H FTU 40A 3P LO UL,"$1,958.52 ",150,40A,H,80,FTU,100,65,1
,02070098UL,UTS150H FTU 50A 3P LO UL,"$1,958.52 ",150,50A,H,80,FTU,100,65,1
,02070099UL,UTS150H FTU 60A 3P LO UL,"$1,958.52 ",150,60A,H,80,FTU,100,65,1
,02070100UL,UTS150H FTU 70A 3P LO UL,"$1,958.52 ",150,70A,H,80,FTU,100,65,1
,02070101UL,UTS150H FTU 80A 3P LO UL,"$1,958.52 ",150,80A,H,80,FTU,100,65,1
,02070102UL,UTS150H FTU 90A 3P LO UL,"$1,958.52 ",150,90A,H,80,FTU,100,65,1
,02070103UL,UTS150H FTU 100A 3P LO UL,"$1,958.52 ",150,100A,H,80,FTU,100,65,1
,02070104UL,UTS150H FTU 125A 3P LO UL,"$1,958.52 ",150,125A,H,80,FTU,100,65,1
,02070105UL,UTS150H FTU 150A 3P LO UL,"$1,958.52 ",150,150A,H,80,FTU,100,65,1
,02070161UL,UTS150L FTU 40A 3P LO UL,"$2,288.80 ",150,40A,L,80,FTU,100,100,1
,02070162UL,UTS150L FTU 50A 3P LO UL,"$2,288.80 ",150,50A,L,80,FTU,100,100,1
,02070163UL,UTS150L FTU 60A 3P LO UL,"$2,288.80 ",150,60A,L,80,FTU,100,100,1
,02070164UL,UTS150L FTU 70A 3P LO UL,"$2,288.80 ",150,70A,L,80,FTU,100,100,1
,02070165UL,UTS150L FTU 80A 3P LO UL,"$2,288.80 ",150,80A,L,80,FTU,100,100,1
,02070166UL,UTS150L FTU 90A 3P LO UL,"$2,288.80 ",150,90A,L,80,FTU,100,100,1
,02070167UL,UTS150L FTU 100A 3P LO UL,"$2,288.80 ",150,100A,L,80,FTU,100,100,1
,02070168UL,UTS150L FTU 125A 3P LO UL,"$2,288.80 ",150,125A,L,80,FTU,100,100,1
,02070169UL,UTS150L FTU 150A 3P LO UL,"$2,288.80 ",150,150A,L,80,FTU,100,100,1
,02070258UL,UTS150NT FTU 40A 3P LO UL,"$1,938.36 ",150,40A,NT,100,FTU,65,35,1
,02070259UL,UTS150NT FTU 50A 3P LO UL,"$1,938.36 ",150,50A,NT,100,FTU,65,35,1
,02070260UL,UTS150NT FTU 60A 3P LO UL,"$1,938.36 ",150,60A,NT,100,FTU,65,35,1
,02070261UL,UTS150NT FTU 70A 3P LO UL,"$1,938.36 ",150,70A,NT,100,FTU,65,35,1
,02070262UL,UTS150NT FTU 80A 3P LO UL,"$1,938.36 ",150,80A,NT,100,FTU,65,35,1
,02070263UL,UTS150NT FTU 90A 3P LO UL,"$1,938.36 ",150,90A,NT,100,FTU,65,35,1
,02070264UL,UTS150NT FTU 100A 3P LO UL,"$1,938.36 ",150,100A,NT,100,FTU,65,35,1
,02070265UL,UTS150NT FTU 125A 3P LO UL,"$1,938.36 ",150,125A,NT,100,FTU,65,35,1
,02070266UL,UTS150NT FTU 150A 3P LO UL,"$1,938.36 ",150,150A,NT,100,FTU,65,35,1
,02070322UL,UTS150HT FTU 40A 3P LO UL,"$2,154.51 ",150,40A,HT,100,FTU,100,65,1
,02070323UL,UTS150HT FTU 50A 3P LO UL,"$2,154.51 ",150,50A,HT,100,FTU,100,65,1
,02070324UL,UTS150HT FTU 60A 3P LO UL,"$2,154.51 ",150,60A,HT,100,FTU,100,65,1
,02070325UL,UTS150HT FTU 70A 3P LO UL,"$2,154.51 ",150,70A,HT,100,FTU,100,65,1
,02070326UL,UTS150HT FTU 80A 3P LO UL,"$2,154.51 ",150,80A,HT,100,FTU,100,65,1
,02070327UL,UTS150HT FTU 90A 3P LO UL,"$2,154.51 ",150,90A,HT,100,FTU,100,65,1
,02070328UL,UTS150HT FTU 100A 3P LO UL,"$2,154.51 ",150,100A,HT,100,FTU,100,65,1
,02070329UL,UTS150HT FTU 125A 3P LO UL,"$2,154.51 ",150,125A,HT,100,FTU,100,65,1
,02070330UL,UTS150HT FTU 150A 3P LO UL,"$2,154.51 ",150,150A,HT,100,FTU,100,65,1
,02070386UL,UTS150LT FTU 40A 3P LO UL,"$2,517.58 ",150,40A,LT,100,FTU,100,100,1
,02070387UL,UTS150LT FTU 50A 3P LO UL,"$2,517.58 ",150,50A,LT,100,FTU,100,100,1
,02070388UL,UTS150LT FTU 60A 3P LO UL,"$2,517.58 ",150,60A,LT,100,FTU,100,100,1
,02070389UL,UTS150LT FTU 70A 3P LO UL,"$2,517.58 ",150,70A,LT,100,FTU,100,100,1
,02070390UL,UTS150LT FTU 80A 3P LO UL,"$2,517.58 ",150,80A,LT,100,FTU,100,100,1
,02070391UL,UTS150LT FTU 90A 3P LO UL,"$2,517.58 ",150,90A,LT,100,FTU,100,100,1
,02070392UL,UTS150LT FTU 100A 3P LO UL,"$2,517.58 ",150,100A,LT,100,FTU,100,100,1
,02070393UL,UTS150LT FTU 125A 3P LO UL,"$2,517.58 ",150,125A,LT,100,FTU,100,100,1
,02070394UL,UTS150LT FTU 150A 3P LO UL,"$2,517.58 ",150,150A,LT,100,FTU,100,100,1
,02070779UL,UTS150N ETS23 LSI 150A 3P LO UL,"$2,618.49 ",150,150A,N,80,ETS23,65,35,1
,02070780UL,UTS150N ETS23 LSI 100A 3P LO UL,"$2,618.49 ",150,100A,N,80,ETS23,65,35,1
,02070781UL,UTS150N ETS23 LSI 60A 3P LO UL,"$2,618.49 ",150,60A,N,80,ETS23,65,35,1
,02070791UL,UTS150H ETS23 LSI 150A 3P LO UL,"$2,733.29 ",150,150A,H,80,ETS23,100,65,1
,02070792UL,UTS150H ETS23 LSI 100A 3P LO UL,"$2,733.29 ",150,100A,H,80,ETS23,100,65,1
,02070793UL,UTS150H ETS23 LSI 60A 3P LO UL,"$2,733.29 ",150,60A,H,80,ETS23,100,65,1
,02070803UL,UTS150L ETS23 LSI 150A 3P LO UL,"$3,124.70 ",150,150A,L,80,ETS23,100,100,1
,02070804UL,UTS150L ETS23 LSI 100A 3P LO UL,"$3,124.70 ",150,100A,L,80,ETS23,100,100,1
,02070805UL,UTS150L ETS23 LSI 60A 3P LO UL,"$3,124.70 ",150,60A,L,80,ETS23,100,100,1
,02070815UL,UTS150NT ETS23 LSI 150A 3P LO UL,"$2,906.51 ",150,150A,NT,100,ETS23,65,35,1
,02070816UL,UTS150NT ETS23 LSI 100A 3P LO UL,"$2,906.51 ",150,100A,NT,100,ETS23,65,35,1
,02070817UL,UTS150NT ETS23 LSI 60A 3P LO UL,"$2,906.51 ",150,60A,NT,100,ETS23,65,35,1
,02070827UL,UTS150HT ETS23 LSI 150A 3P LO UL,"$3,033.98 ",150,150A,HT,100,ETS23,100,65,1
,02070828UL,UTS150HT ETS23 LSI 100A 3P LO UL,"$3,033.98 ",150,100A,HT,100,ETS23,100,65,1
,02070829UL,UTS150HT ETS23 LSI 60A 3P LO UL,"$3,033.98 ",150,60A,HT,100,ETS23,100,65,1
,02070839UL,UTS150LT ETS23 LSI 150A 3P LO UL,"$3,468.47 ",150,150A,LT,100,ETS23,100,100,1
,02070840UL,UTS150LT ETS23 LSI 100A 3P LO UL,"$3,468.47 ",150,100A,LT,100,ETS23,100,100,1
,02070841UL,UTS150LT ETS23 LSI 60A 3P LO UL,"$3,468.47 ",150,60A,LT,100,ETS23,100,100,1
,02070047UL,UTS150N ATU 100A 3P LO UL,"$1,916.85 ",150,100A,N,80,ATU,65,35,1
,02070048UL,UTS150N ATU 150A 3P LO UL,"$1,916.85 ",150,150A,N,80,ATU,65,35,1
,02070111UL,UTS150H ATU 100A 3P LO UL,"$2,295.70 ",150,100A,H,80,ATU,100,65,1
,02070112UL,UTS150H ATU 150A 3P LO UL,"$2,295.70 ",150,150A,H,80,ATU,100,65,1
,02070175UL,UTS150L ATU 100A 3P LO UL,"$2,716.36 ",150,100A,L,80,ATU,100,100,1
,02070176UL,UTS150L ATU 150A 3P LO UL,"$2,716.36 ",150,150A,L,80,ATU,100,100,1
,02070272UL,UTS150NT ATU 100A 3P LO UL,"$2,108.48 ",150,100A,NT,100,ATU,65,35,1
,02070273UL,UTS150NT ATU 150A 3P LO UL,"$2,108.48 ",150,150A,NT,100,ATU,65,35,1
,02070336UL,UTS150HT ATU 100A 3P LO UL,"$2,525.33 ",150,100A,HT,100,ATU,100,65,1
,02070337UL,UTS150HT ATU 150A 3P LO UL,"$2,525.33 ",150,150A,HT,100,ATU,100,65,1
,02070400UL,UTS150LT ATU 100A 3P LO UL,"$2,988.13 ",150,100A,LT,100,ATU,100,100,1
,02070401UL,UTS150LT ATU 150A 3P LO UL,"$2,988.13 ",150,150A,LT,100,ATU,100,100,1
,02070423UL,UTS150N ATU 125A 3P LO UL,"$1,916.85 ",150,125A,N,80,ATU,65,35,1
,02070431UL,UTS150H ATU 125A 3P LO UL,"$2,295.70 ",150,125A,H,80,ATU,100,65,1
,02070439UL,UTS150L ATU 125A 3P LO UL,"$2,716.36 ",150,125A,L,80,ATU,100,100,1
,02070447UL,UTS150NT ATU 125A 3P LO UL,"$2,108.48 ",150,125A,NT,100,ATU,65,35,1
,02070455UL,UTS150HT ATU 125A 3P LO UL,"$2,525.33 ",150,125A,HT,100,ATU,100,65,1
,02070463UL,UTS150LT ATU 125A 3P LO UL,"$2,988.13 ",150,125A,LT,100,ATU,100,100,1
UTS250,02090023UL,UTS250N FTU 150A 3P LO UL,"$2,326.40 ",250,150A,N,80,FTU,65,35,2
,02090024UL,UTS250N FTU 175A 3P LO UL,"$2,326.40 ",250,175A,N,80,FTU,65,35,2
,02090025UL,UTS250N FTU 200A 3P LO UL,"$2,326.40 ",250,200A,N,80,FTU,65,35,2
,02090026UL,UTS250N FTU 225A 3P LO UL,"$2,326.40 ",250,225A,N,80,FTU,65,35,2
,02090027UL,UTS250N FTU 250A 3P LO UL,"$2,326.40 ",250,250A,N,80,FTU,65,35,2
,02090031UL,UTS250N ATU 160A 3P LO UL,"$2,780.59 ",250,160A,N,80,ATU,65,35,2
,02090032UL,UTS250N ATU 200A 3P LO UL,"$2,780.59 ",250,200A,N,80,ATU,65,35,2
,02090033UL,UTS250N ATU 250A 3P LO UL,"$2,780.59 ",250,250A,N,80,ATU,65,35,2
,02090067UL,UTS250H FTU 150A 3P LO UL,"$2,613.41 ",250,150A,H,80,FTU,100,65,2
,02090068UL,UTS250H FTU 175A 3P LO UL,"$2,613.41 ",250,175A,H,80,FTU,100,65,2
,02090069UL,UTS250H FTU 200A 3P LO UL,"$2,613.41 ",250,200A,H,80,FTU,100,65,2
,02090070UL,UTS250H FTU 225A 3P LO UL,"$2,613.41 ",250,225A,H,80,FTU,100,65,2
,02090071UL,UTS250H FTU 250A 3P LO UL,"$2,613.41 ",250,250A,H,80,FTU,100,65,2
,02090075UL,UTS250H ATU 160A 3P LO UL,"$3,382.34 ",250,160A,H,80,ATU,100,65,2
,02090076UL,UTS250H ATU 200A 3P LO UL,"$3,382.34 ",250,200A,H,80,ATU,100,65,2
,02090077UL,UTS250H ATU 250A 3P LO UL,"$3,382.34 ",250,250A,H,80,ATU,100,65,2
,02090111UL,UTS250L FTU 150A 3P LO UL,"$3,219.38 ",250,150A,L,80,FTU,100,100,2
,02090112UL,UTS250L FTU 175A 3P LO UL,"$3,219.38 ",250,175A,L,80,FTU,100,100,2
,02090113UL,UTS250L FTU 200A 3P LO UL,"$3,219.38 ",250,200A,L,80,FTU,100,100,2
,02090114UL,UTS250L FTU 225A 3P LO UL,"$3,219.38 ",250,225A,L,80,FTU,100,100,2
,02090115UL,UTS250L FTU 250A 3P LO UL,"$3,219.38 ",250,250A,L,80,FTU,100,100,2
,02090119UL,UTS250L ATU 160A 3P LO UL,"$3,741.74 ",250,160A,L,80,ATU,100,100,2
,02090120UL,UTS250L ATU 200A 3P LO UL,"$3,741.74 ",250,200A,L,80,ATU,100,100,2
,02090121UL,UTS250L ATU 250A 3P LO UL,"$3,741.74 ",250,250A,L,80,ATU,100,100,2
,02090159UL,UTS250NT FTU 150A 3P LO UL,"$2,558.96 ",250,150A,NT,100,FTU,65,35,2
,02090160UL,UTS250NT FTU 175A 3P LO UL,"$2,558.96 ",250,175A,NT,100,FTU,65,35,2
,02090161UL,UTS250NT FTU 200A 3P LO UL,"$2,558.96 ",250,200A,NT,100,FTU,65,35,2
,02090162UL,UTS250NT FTU 225A 3P LO UL,"$2,558.96 ",250,225A,NT,100,FTU,65,35,2
,02090163UL,UTS250NT FTU 250A 3P LO UL,"$2,558.96 ",250,250A,NT,100,FTU,65,35,2
,02090167UL,UTS250NT ATU 160A 3P LO UL,"$3,058.51 ",250,160A,NT,100,ATU,65,35,2
,02090168UL,UTS250NT ATU 200A 3P LO UL,"$3,058.51 ",250,200A,NT,100,ATU,65,35,2
,02090169UL,UTS250NT ATU 250A 3P LO UL,"$3,058.51 ",250,250A,NT,100,ATU,65,35,2
,02090203UL,UTS250HT FTU 150A 3P LO UL,"$2,874.65 ",250,150A,HT,100,FTU,100,65,2
,02090204UL,UTS250HT FTU 175A 3P LO UL,"$2,874.65 ",250,175A,HT,100,FTU,100,65,2
,02090205UL,UTS250HT FTU 200A 3P LO UL,"$2,874.65 ",250,200A,HT,100,FTU,100,65,2
,02090206UL,UTS250HT FTU 225A 3P LO UL,"$2,874.65 ",250,225A,HT,100,FTU,100,65,2
,02090207UL,UTS250HT FTU 250A 3P LO UL,"$2,874.65 ",250,250A,HT,100,FTU,100,65,2
,02090211UL,UTS250HT ATU 160A 3P LO UL,"$3,720.47 ",250,160A,HT,100,ATU,100,65,2
,02090212UL,UTS250HT ATU 200A 3P LO UL,"$3,720.47 ",250,200A,HT,100,ATU,100,65,2
,02090213UL,UTS250HT ATU 250A 3P LO UL,"$3,720.47 ",250,250A,HT,100,ATU,100,65,2
,02090247UL,UTS250LT FTU 150A 3P LO UL,"$3,541.18 ",250,150A,LT,100,FTU,100,100,2
,02090248UL,UTS250LT FTU 175A 3P LO UL,"$3,541.18 ",250,175A,LT,100,FTU,100,100,2
,02090249UL,UTS250LT FTU 200A 3P LO UL,"$3,541.18 ",250,200A,LT,100,FTU,100,100,2
,02090250UL,UTS250LT FTU 225A 3P LO UL,"$3,541.18 ",250,225A,LT,100,FTU,100,100,2
,02090251UL,UTS250LT FTU 250A 3P LO UL,"$3,541.18 ",250,250A,LT,100,FTU,100,100,2
,02090255UL,UTS250LT ATU 160A 3P LO UL,"$4,115.89 ",250,160A,LT,100,ATU,100,100,2
,02090256UL,UTS250LT ATU 200A 3P LO UL,"$4,115.89 ",250,200A,LT,100,ATU,100,100,2
,02090257UL,UTS250LT ATU 250A 3P LO UL,"$4,115.89 ",250,250A,LT,100,ATU,100,100,2
,02090753UL,UTS250N ETS23 LSI 250A 3P LO UL,"$3,798.39 ",250,250A,N,80,ETS23,65,35,2
